time_on_page,pages_viewed,interest_ski,interest_climb,buy
195.0,3.0,1.0,0.0,0.0
226.0,1.0,0.0,1.0,0.0
154.0,3.0,0.0,0.0,0.0
64.0,2.0,1.0,0.0,0.0
234.0,2.0,0.0,0.0,0.0
156.0,1.0,0.0,1.0,0.0
192.0,2.0,0.0,0.0,0.0
209.0,3.0,0.0,1.0,0.0
196.0,2.0,1.0,0.0,0.0
168.0,2.0,0.0,0.0,0.0
208.0,2.0,0.0,1.0,0.0
219.0,1.0,1.0,0.0,0.0
271.0,1.0,0.0,1.0,0.0
223.0,2.0,1.0,0.0,0.0
199.0,2.0,1.0,0.0,0.0
195.0,2.0,1.0,0.0,0.0
164.0,1.0,1.0,0.0,0.0
237.0,2.0,1.0,0.0,0.0
206.0,2.0,1.0,0.0,0.0
256.0,2.0,0.0,1.0,0.0
100.0,2.0,0.0,1.0,0.0
87.0,2.0,0.0,0.0,0.0
182.0,2.0,1.0,0.0,0.0
324.0,1.0,0.0,0.0,0.0
274.0,2.0,1.0,1.0,0.0
270.0,3.0,0.0,1.0,0.0
153.0,1.0,0.0,1.0,0.0
233.0,2.0,0.0,1.0,0.0
313.0,2.0,0.0,0.0,0.0
100.0,2.0,0.0,0.0,0.0
192.0,2.0,1.0,0.0,0.0
219.0,3.0,0.0,0.0,0.0
157.0,3.0,0.0,1.0,0.0
242.0,2.0,0.0,1.0,0.0
153.0,3.0,0.0,0.0,0.0
148.0,2.0,1.0,0.0,0.0
234.0,1.0,0.0,0.0,0.0
180.0,2.0,0.0,0.0,0.0
204.0,2.0,0.0,0.0,0.0
77.0,2.0,0.0,1.0,0.0
178.0,2.0,0.0,0.0,0.0
87.0,1.0,1.0,0.0,0.0
164.0,1.0,0.0,0.0,0.0
235.0,2.0,0.0,1.0,0.0
264.0,1.0,0.0,0.0,0.0
103.0,2.0,0.0,0.0,0.0
175.0,2.0,1.0,0.0,0.0
87.0,2.0,1.0,1.0,0.0
201.0,2.0,1.0,0.0,0.0
242.0,3.0,0.0,1.0,0.0
257.0,1.0,0.0,0.0,0.0
220.0,2.0,0.0,0.0,0.0
163.0,2.0,0.0,0.0,0.0
142.0,2.0,1.0,0.0,0.0
132.0,2.0,0.0,1.0,0.0
158.0,3.0,0.0,0.0,0.0
72.0,2.0,1.0,1.0,0.0
220.0,2.0,0.0,1.0,0.0
256.0,1.0,0.0,1.0,0.0
221.0,1.0,0.0,1.0,0.0
192.0,2.0,1.0,0.0,0.0
174.0,2.0,1.0,1.0,0.0
290.0,2.0,0.0,0.0,0.0
143.0,2.0,0.0,1.0,0.0
186.0,1.0,0.0,1.0,0.0
182.0,2.0,0.0,1.0,0.0
173.0,2.0,0.0,1.0,0.0
149.0,2.0,1.0,0.0,0.0
225.0,2.0,0.0,0.0,0.0
205.0,2.0,0.0,0.0,0.0
149.0,2.0,0.0,0.0,0.0
208.0,2.0,0.0,0.0,0.0
187.0,2.0,0.0,0.0,0.0
121.0,2.0,1.0,0.0,0.0
152.0,2.0,1.0,0.0,0.0
66.0,2.0,1.0,1.0,0.0
145.0,2.0,1.0,0.0,0.0
253.0,2.0,1.0,0.0,0.0
94.0,2.0,0.0,0.0,0.0
95.0,2.0,0.0,0.0,0.0
179.0,3.0,0.0,1.0,0.0
219.0,3.0,1.0,0.0,0.0
181.0,1.0,1.0,0.0,0.0
207.0,2.0,1.0,1.0,0.0
290.0,1.0,1.0,0.0,0.0
161.0,3.0,1.0,1.0,0.0
198.0,2.0,0.0,0.0,0.0
175.0,3.0,1.0,0.0,0.0
167.0,1.0,1.0,0.0,0.0
86.0,2.0,0.0,1.0,0.0
150.0,2.0,0.0,0.0,0.0
276.0,2.0,0.0,0.0,0.0
83.0,1.0,1.0,0.0,0.0
152.0,2.0,1.0,1.0,0.0
302.0,2.0,0.0,0.0,0.0
169.0,2.0,1.0,0.0,0.0
181.0,2.0,0.0,0.0,0.0
229.0,2.0,0.0,0.0,0.0
69.0,1.0,0.0,1.0,0.0
40.0,2.0,0.0,1.0,0.0
111.0,2.0,1.0,0.0,0.0
155.0,2.0,1.0,1.0,0.0
161.0,2.0,0.0,1.0,0.0
111.0,2.0,0.0,0.0,0.0
250.0,2.0,0.0,0.0,0.0
119.0,3.0,1.0,0.0,0.0
151.0,2.0,0.0,1.0,0.0
211.0,2.0,0.0,0.0,0.0
192.0,2.0,1.0,0.0,0.0
227.0,1.0,0.0,0.0,0.0
207.0,2.0,0.0,0.0,0.0
117.0,2.0,0.0,0.0,0.0
21.0,2.0,1.0,0.0,0.0
221.0,2.0,0.0,1.0,0.0
84.0,3.0,0.0,0.0,0.0
219.0,2.0,1.0,1.0,0.0
202.0,2.0,0.0,0.0,0.0
149.0,2.0,0.0,0.0,0.0
331.0,3.0,0.0,1.0,0.0
283.0,3.0,1.0,1.0,0.0
239.0,3.0,0.0,0.0,0.0
5.0,2.0,1.0,1.0,0.0
162.0,2.0,0.0,0.0,0.0
210.0,2.0,0.0,0.0,0.0
192.0,2.0,1.0,0.0,0.0
236.0,2.0,0.0,1.0,0.0
268.0,2.0,0.0,0.0,0.0
172.0,1.0,1.0,0.0,0.0
216.0,2.0,1.0,0.0,0.0
87.0,2.0,1.0,1.0,0.0
210.0,2.0,0.0,0.0,0.0
178.0,2.0,1.0,0.0,0.0
34.0,3.0,0.0,1.0,0.0
194.0,1.0,0.0,0.0,0.0
68.0,2.0,0.0,0.0,0.0
383.0,2.0,1.0,0.0,0.0
264.0,2.0,1.0,1.0,0.0
185.0,1.0,0.0,1.0,0.0
191.0,1.0,0.0,1.0,0.0
172.0,2.0,0.0,1.0,0.0
215.0,1.0,1.0,0.0,0.0
204.0,1.0,1.0,1.0,0.0
249.0,2.0,0.0,0.0,0.0
163.0,1.0,1.0,0.0,0.0
109.0,2.0,0.0,0.0,0.0
115.0,2.0,0.0,1.0,0.0
230.0,2.0,1.0,1.0,0.0
155.0,2.0,1.0,1.0,0.0
80.0,2.0,1.0,0.0,0.0
148.0,2.0,0.0,0.0,0.0
196.0,2.0,1.0,0.0,0.0
58.0,2.0,0.0,0.0,0.0
159.0,2.0,1.0,0.0,0.0
168.0,2.0,1.0,0.0,0.0
192.0,3.0,0.0,1.0,0.0
186.0,1.0,1.0,1.0,0.0
272.0,3.0,1.0,0.0,0.0
299.0,2.0,0.0,0.0,0.0
209.0,2.0,0.0,1.0,0.0
155.0,2.0,0.0,0.0,0.0
108.0,2.0,0.0,1.0,0.0
165.0,2.0,0.0,1.0,0.0
166.0,2.0,0.0,0.0,0.0
163.0,2.0,1.0,0.0,0.0
239.0,2.0,0.0,0.0,0.0
126.0,2.0,0.0,0.0,0.0
190.0,2.0,0.0,0.0,0.0
139.0,2.0,0.0,0.0,0.0
106.0,1.0,0.0,1.0,0.0
163.0,2.0,1.0,1.0,0.0
191.0,2.0,0.0,1.0,0.0
91.0,2.0,1.0,0.0,0.0
160.0,4.0,1.0,0.0,0.0
306.0,2.0,1.0,0.0,0.0
178.0,1.0,1.0,0.0,0.0
203.0,1.0,0.0,1.0,0.0
161.0,2.0,1.0,0.0,0.0
162.0,2.0,0.0,0.0,0.0
203.0,2.0,0.0,0.0,0.0
144.0,3.0,0.0,1.0,0.0
205.0,2.0,0.0,0.0,0.0
149.0,3.0,1.0,0.0,0.0
122.0,2.0,0.0,0.0,0.0
228.0,2.0,0.0,1.0,0.0
137.0,1.0,1.0,1.0,0.0
200.0,2.0,0.0,1.0,0.0
304.0,3.0,1.0,0.0,0.0
177.0,2.0,0.0,0.0,0.0
132.0,2.0,0.0,1.0,0.0
188.0,2.0,0.0,1.0,0.0
197.0,1.0,0.0,1.0,0.0
188.0,3.0,1.0,0.0,0.0
289.0,2.0,1.0,0.0,0.0
186.0,0.0,0.0,1.0,0.0
163.0,1.0,1.0,0.0,0.0
147.0,1.0,1.0,0.0,0.0
246.0,3.0,0.0,0.0,0.0
238.0,3.0,1.0,1.0,0.0
273.0,2.0,0.0,1.0,0.0
339.0,2.0,0.0,0.0,0.0
279.0,2.0,0.0,0.0,0.0
39.0,2.0,0.0,0.0,0.0
272.0,2.0,0.0,1.0,0.0
128.0,2.0,0.0,0.0,0.0
190.0,2.0,1.0,0.0,0.0
158.0,1.0,0.0,1.0,0.0
201.0,2.0,1.0,1.0,0.0
276.0,2.0,0.0,0.0,0.0
60.0,2.0,0.0,0.0,0.0
205.0,2.0,1.0,0.0,0.0
103.0,2.0,0.0,1.0,0.0
236.0,1.0,1.0,1.0,0.0
53.0,2.0,0.0,0.0,0.0
176.0,3.0,1.0,0.0,0.0
139.0,2.0,0.0,1.0,0.0
268.0,2.0,1.0,0.0,0.0
138.0,2.0,0.0,0.0,0.0
215.0,1.0,0.0,0.0,0.0
120.0,3.0,0.0,1.0,0.0
207.0,2.0,1.0,0.0,0.0
180.0,2.0,0.0,1.0,0.0
109.0,2.0,0.0,0.0,0.0
148.0,3.0,0.0,1.0,0.0
145.0,2.0,0.0,0.0,0.0
136.0,1.0,1.0,1.0,0.0
164.0,1.0,1.0,0.0,0.0
261.0,1.0,1.0,0.0,0.0
205.0,2.0,0.0,0.0,0.0
176.0,3.0,1.0,0.0,0.0
119.0,2.0,0.0,1.0,0.0
182.0,2.0,0.0,0.0,0.0
227.0,2.0,1.0,0.0,0.0
200.0,2.0,1.0,1.0,0.0
312.0,2.0,0.0,0.0,0.0
162.0,1.0,1.0,1.0,0.0
198.0,1.0,0.0,0.0,0.0
155.0,2.0,0.0,0.0,0.0
299.0,2.0,0.0,0.0,0.0
177.0,2.0,1.0,0.0,0.0
118.0,3.0,0.0,1.0,0.0
298.0,2.0,0.0,0.0,0.0
61.0,2.0,0.0,0.0,0.0
44.0,2.0,1.0,0.0,0.0
242.0,2.0,1.0,0.0,0.0
230.0,2.0,0.0,0.0,0.0
229.0,2.0,0.0,0.0,0.0
261.0,2.0,1.0,1.0,0.0
154.0,1.0,0.0,1.0,0.0
144.0,2.0,1.0,0.0,0.0
151.0,2.0,1.0,1.0,0.0
156.0,2.0,0.0,0.0,0.0
236.0,2.0,0.0,0.0,0.0
181.0,2.0,1.0,0.0,0.0
186.0,2.0,0.0,1.0,0.0
171.0,3.0,0.0,0.0,0.0
162.0,1.0,1.0,0.0,0.0
236.0,3.0,0.0,1.0,0.0
38.0,3.0,0.0,0.0,0.0
170.0,1.0,0.0,0.0,0.0
215.0,2.0,0.0,0.0,0.0
132.0,1.0,0.0,1.0,0.0
107.0,2.0,1.0,1.0,0.0
171.0,3.0,0.0,0.0,0.0
178.0,1.0,0.0,0.0,0.0
241.0,3.0,1.0,0.0,0.0
233.0,2.0,0.0,1.0,0.0
205.0,1.0,1.0,0.0,0.0
101.0,2.0,0.0,0.0,0.0
192.0,1.0,0.0,0.0,0.0
91.0,3.0,1.0,0.0,0.0
224.0,1.0,0.0,0.0,0.0
231.0,2.0,1.0,1.0,0.0
277.0,2.0,1.0,0.0,0.0
228.0,2.0,1.0,0.0,0.0
157.0,2.0,0.0,0.0,0.0
222.0,2.0,0.0,0.0,0.0
239.0,2.0,1.0,0.0,0.0
188.0,1.0,0.0,1.0,0.0
171.0,2.0,1.0,0.0,0.0
146.0,1.0,1.0,0.0,0.0
216.0,2.0,0.0,1.0,0.0
176.0,2.0,0.0,1.0,0.0
58.0,2.0,0.0,0.0,0.0
197.0,2.0,1.0,0.0,0.0
127.0,3.0,0.0,0.0,0.0
210.0,1.0,1.0,0.0,0.0
142.0,3.0,1.0,1.0,0.0
205.0,2.0,1.0,1.0,0.0
184.0,2.0,0.0,0.0,0.0
175.0,2.0,0.0,0.0,0.0
147.0,2.0,0.0,0.0,0.0
210.0,3.0,0.0,0.0,0.0
276.0,2.0,0.0,0.0,0.0
278.0,2.0,0.0,0.0,0.0
259.0,2.0,0.0,0.0,0.0
164.0,2.0,0.0,1.0,0.0
338.0,2.0,1.0,0.0,0.0
147.0,3.0,1.0,1.0,0.0
235.0,2.0,0.0,0.0,0.0
168.0,3.0,0.0,0.0,0.0
258.0,2.0,0.0,1.0,0.0
156.0,2.0,0.0,0.0,0.0
141.0,1.0,1.0,1.0,0.0
169.0,1.0,0.0,0.0,0.0
121.0,2.0,1.0,0.0,0.0
290.0,2.0,1.0,1.0,0.0
182.0,2.0,0.0,0.0,0.0
177.0,3.0,0.0,0.0,0.0
71.0,2.0,0.0,0.0,0.0
135.0,2.0,1.0,0.0,0.0
296.0,2.0,0.0,1.0,0.0
237.0,2.0,0.0,0.0,0.0
207.0,2.0,0.0,0.0,0.0
191.0,2.0,0.0,0.0,0.0
217.0,3.0,0.0,0.0,0.0
226.0,2.0,1.0,0.0,0.0
275.0,2.0,0.0,0.0,0.0
154.0,2.0,1.0,0.0,0.0
149.0,2.0,1.0,0.0,0.0
119.0,2.0,0.0,0.0,0.0
224.0,2.0,0.0,0.0,0.0
178.0,2.0,0.0,1.0,0.0
208.0,2.0,1.0,0.0,0.0
127.0,2.0,0.0,0.0,0.0
73.0,1.0,0.0,1.0,0.0
233.0,3.0,0.0,0.0,0.0
196.0,3.0,1.0,0.0,0.0
233.0,3.0,1.0,0.0,0.0
123.0,2.0,0.0,0.0,0.0
142.0,1.0,0.0,1.0,0.0
242.0,1.0,1.0,0.0,0.0
110.0,2.0,0.0,0.0,0.0
114.0,3.0,0.0,0.0,0.0
220.0,2.0,0.0,0.0,0.0
116.0,2.0,0.0,0.0,0.0
212.0,2.0,1.0,1.0,0.0
78.0,2.0,0.0,0.0,0.0
128.0,3.0,0.0,1.0,0.0
202.0,2.0,0.0,0.0,0.0
239.0,2.0,1.0,1.0,0.0
109.0,-0.0,1.0,1.0,0.0
77.0,2.0,0.0,0.0,0.0
256.0,1.0,0.0,0.0,0.0
179.0,3.0,0.0,1.0,0.0
157.0,2.0,1.0,1.0,0.0
199.0,2.0,0.0,0.0,0.0
188.0,2.0,0.0,0.0,0.0
154.0,3.0,0.0,1.0,0.0
122.0,2.0,0.0,0.0,0.0
233.0,1.0,0.0,1.0,0.0
114.0,2.0,0.0,1.0,0.0
179.0,2.0,1.0,1.0,0.0
119.0,1.0,1.0,0.0,0.0
85.0,2.0,1.0,1.0,0.0
156.0,3.0,1.0,0.0,0.0
214.0,2.0,1.0,1.0,0.0
107.0,3.0,0.0,0.0,0.0
264.0,2.0,1.0,1.0,0.0
124.0,2.0,0.0,0.0,0.0
201.0,2.0,1.0,1.0,0.0
106.0,3.0,0.0,0.0,0.0
142.0,1.0,0.0,0.0,0.0
157.0,2.0,0.0,0.0,0.0
298.0,2.0,0.0,1.0,0.0
66.0,1.0,0.0,0.0,0.0
201.0,2.0,0.0,0.0,0.0
188.0,1.0,0.0,1.0,0.0
127.0,2.0,0.0,1.0,0.0
100.0,2.0,0.0,0.0,0.0
239.0,2.0,0.0,1.0,0.0
209.0,2.0,0.0,0.0,0.0
197.0,3.0,0.0,0.0,0.0
220.0,2.0,0.0,0.0,0.0
213.0,2.0,0.0,1.0,0.0
111.0,2.0,0.0,0.0,0.0
153.0,2.0,0.0,1.0,0.0
176.0,2.0,1.0,1.0,0.0
118.0,1.0,1.0,0.0,0.0
92.0,2.0,0.0,0.0,0.0
66.0,2.0,0.0,0.0,0.0
195.0,1.0,0.0,1.0,0.0
120.0,2.0,0.0,0.0,0.0
208.0,2.0,1.0,0.0,0.0
130.0,3.0,0.0,0.0,0.0
254.0,2.0,0.0,0.0,0.0
125.0,3.0,0.0,0.0,0.0
253.0,1.0,1.0,1.0,0.0
157.0,2.0,0.0,0.0,0.0
147.0,1.0,0.0,0.0,0.0
239.0,2.0,1.0,0.0,0.0
219.0,2.0,1.0,1.0,0.0
190.0,2.0,1.0,0.0,0.0
154.0,2.0,0.0,1.0,0.0
226.0,1.0,0.0,1.0,0.0
160.0,2.0,1.0,0.0,0.0
148.0,2.0,1.0,1.0,0.0
188.0,3.0,0.0,0.0,0.0
209.0,2.0,0.0,1.0,0.0
146.0,2.0,0.0,1.0,0.0
205.0,2.0,1.0,0.0,0.0
179.0,3.0,0.0,0.0,0.0
145.0,2.0,1.0,0.0,0.0
152.0,2.0,1.0,0.0,0.0
55.0,2.0,0.0,0.0,0.0
88.0,2.0,0.0,1.0,0.0
194.0,2.0,0.0,0.0,0.0
135.0,2.0,1.0,0.0,0.0
224.0,2.0,1.0,1.0,0.0
194.0,1.0,0.0,0.0,0.0
232.0,1.0,0.0,1.0,0.0
97.0,3.0,0.0,0.0,0.0
147.0,2.0,0.0,1.0,0.0
236.0,1.0,1.0,0.0,0.0
203.0,2.0,1.0,1.0,0.0
183.0,1.0,1.0,1.0,0.0
159.0,2.0,1.0,0.0,0.0
197.0,2.0,0.0,0.0,0.0
114.0,3.0,1.0,0.0,0.0
57.0,2.0,0.0,0.0,0.0
212.0,2.0,0.0,0.0,0.0
156.0,3.0,1.0,0.0,0.0
172.0,3.0,0.0,1.0,0.0
170.0,2.0,0.0,0.0,0.0
192.0,2.0,0.0,0.0,0.0
153.0,2.0,0.0,0.0,0.0
163.0,2.0,0.0,0.0,0.0
232.0,1.0,1.0,0.0,0.0
234.0,2.0,1.0,0.0,0.0
221.0,3.0,0.0,0.0,0.0
88.0,2.0,1.0,1.0,0.0
107.0,2.0,1.0,1.0,0.0
130.0,1.0,1.0,1.0,0.0
254.0,2.0,1.0,1.0,0.0
317.0,2.0,0.0,1.0,0.0
154.0,2.0,0.0,1.0,0.0
287.0,2.0,0.0,0.0,0.0
332.0,3.0,0.0,0.0,0.0
85.0,1.0,0.0,1.0,0.0
296.0,2.0,1.0,0.0,0.0
238.0,2.0,1.0,0.0,0.0
170.0,2.0,0.0,1.0,0.0
300.0,1.0,0.0,0.0,0.0
272.0,2.0,1.0,1.0,0.0
278.0,2.0,0.0,0.0,0.0
149.0,2.0,0.0,1.0,0.0
164.0,2.0,1.0,0.0,0.0
173.0,2.0,1.0,1.0,0.0
174.0,2.0,0.0,0.0,0.0
127.0,2.0,0.0,0.0,0.0
113.0,2.0,1.0,1.0,0.0
141.0,2.0,1.0,0.0,0.0
132.0,2.0,0.0,1.0,0.0
124.0,2.0,1.0,1.0,0.0
174.0,2.0,0.0,0.0,0.0
198.0,2.0,0.0,0.0,0.0
234.0,2.0,1.0,0.0,0.0
116.0,1.0,1.0,1.0,0.0
118.0,2.0,0.0,0.0,0.0
230.0,2.0,0.0,1.0,0.0
193.0,3.0,0.0,0.0,0.0
190.0,2.0,0.0,0.0,0.0
137.0,2.0,0.0,0.0,0.0
168.0,3.0,0.0,1.0,0.0
198.0,2.0,1.0,1.0,0.0
192.0,2.0,0.0,0.0,0.0
319.0,2.0,1.0,0.0,0.0
192.0,2.0,0.0,1.0,0.0
182.0,2.0,0.0,1.0,0.0
98.0,2.0,0.0,1.0,0.0
237.0,1.0,0.0,0.0,0.0
117.0,3.0,0.0,0.0,0.0
134.0,2.0,1.0,1.0,0.0
199.0,2.0,1.0,1.0,0.0
220.0,1.0,1.0,0.0,0.0
145.0,2.0,0.0,0.0,0.0
195.0,2.0,0.0,1.0,0.0
192.0,3.0,0.0,1.0,0.0
205.0,2.0,1.0,1.0,0.0
233.0,2.0,0.0,1.0,0.0
208.0,2.0,1.0,0.0,0.0
190.0,2.0,0.0,1.0,0.0
153.0,2.0,0.0,0.0,0.0
175.0,2.0,0.0,1.0,0.0
190.0,2.0,0.0,1.0,0.0
222.0,3.0,0.0,1.0,0.0
246.0,2.0,0.0,1.0,0.0
